ファイル名：	C:\TAData\菊池_貝良塚\Sn単体_2024_09_26.tad								
									
[ファイル情報]									
ファイル名：	Sn単体_2024_09_26.tad								
試料名：	Sn単体（菊池貝良塚）								
ロット番号：	1								
収集日：	2024/9/26								
収集時間：	14:41:10(+0900)								
機種名：	DTG-60								
機体番号：	C30564500399TK								
雰囲気ガス：	アルゴン								
ガス流量：	50[ml/min]								
セル：	アルミニウム								
試料量：	20.732[mg]								
試料分子量：	0								
									
									
[測定プログラム]									
[データ取込条件]									
サンプリング間隔[ sec ] ：	1								
収集開始条件：	測定開始と同時に開始								
収集終了条件：	測定終了と同時に終了								
									
									
[温度プログラム]									
加熱速度	ホールド温度	ホールド時間							
[ﾟC/min ]	[  ﾟC   ]	[  min  ]							
184	66.81	82.45	20.74						
185	67.16	82.87	20.74						
186	67.44	83.28	20.74						
187	67.78	83.68	20.74						
188	68.08	84.09	20.74						
189	68.41	84.5	20.74						
190	68.75	84.9	20.74						
191	69.09	85.3	20.74						
192	69.44	85.7	20.74						
193	69.73	86.1	20.74						
194	70.06	86.49	20.74						
195	70.36	86.89	20.74						
196	70.68	87.28	20.74						
197	71.02	87.67	20.74						
198	71.35	88.06	20.74						
199	71.71	88.45	20.74						
200	72	88.83	20.74						
201	72.34	89.22	20.74						
202	72.64	89.6	20.74						
203	72.97	89.99	20.74						
204	73.31	90.37	20.74						
205	73.65	90.76	20.74						
206	74.01	91.14	20.74						
207	74.3	91.52	20.74						
208	74.64	91.9	20.74						
209	74.95	92.29	20.74						
210	75.27	92.67	20.74						
211	75.63	93.05	20.74						
212	75.96	93.42	20.74						
213	76.32	93.8	20.74						
214	76.62	94.17	20.74						
215	76.96	94.55	20.75						
216	77.29	94.92	20.75						
217	77.61	95.29	20.75						
218	77.97	95.66	20.75						
219	78.31	96.03	20.75						
220	78.67	96.4	20.75						
221	78.98	96.77	20.75						
222	79.32	97.14	20.75						
223	79.65	97.5	20.75						
224	79.96	97.86	20.75						
225	80.33	98.23	20.75						
226	80.66	98.59	20.75						
227	81.02	98.94	20.75						
228	81.34	99.3	20.75						
229	81.66	99.66	20.75						
230	82	100.01	20.75						
231	82.31	100.37	20.75						
232	82.68	100.71	20.75						
233	83.01	101.06	20.75						
234	83.37	101.41	20.75						
235	83.68	101.75	20.75						
236	84.01	102.09	20.75						
237	84.35	102.43	20.75						
238	84.67	102.76	20.75						
239	85.04	103.09	20.75						
240	85.38	103.42	20.75						
241	85.74	103.76	20.75						
242	86.07	104.09	20.75						
243	86.4	104.41	20.75						
244	86.74	104.74	20.75						
245	87.06	105.07	20.75						
246	87.43	105.39	20.75						
247	87.77	105.72	20.75						
248	88.14	106.04	20.75						
249	88.47	106.36	20.75						
250	88.8	106.68	20.75						
251	89.16	107	20.75						
252	89.47	107.32	20.75						
